Critical,9/20/2018 10:18:34,9/20/18 10:20,0:02:17,BLRBID-MCN-O-I614-01,Service-affecting,ETH10G-2-8-11,Laser Off Far End Failure Triggered,FEF_OCH,No,No,Equipment,Transmit Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:20,0:02:17,BLRBID-MCN-O-I614-01,Service-affecting,ETH10G-2-8-11,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:18,0:00:02,BLRBID-MCN-O-I614-01,Service-affecting,OTM4-1-10-1,Loss Of Clock,RTCLK,No,No,Timing,Real Time Clock Failure,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,OTM4-1-10-1,Loss Of Frame,LOF,No,No,Communication,Frame Loss,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:24,0:05:38,BLRBID-MCN-O-I614-01,Service-affecting,ETH10G-1-10-8,Laser Off Far End Failure Triggered,FEF_OCH,No,No,Equipment,Transmit Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:24,0:05:38,BLRBID-MCN-O-I614-01,Service-affecting,ETH10G-1-10-8,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:18,0:00:02,BLRDME-MCM-O-I614-01,Service-affecting,OTM4-2-10-1,Loss Of Clock,RTCLK,No,No,Timing,Real Time Clock Failure,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:20,0:02:08,BLRDME-MCM-O-I614-01,Service-affecting,ETH10G-2-10-11,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 13:42,3:24:08,BLRJYN-MCM-O-I614-01,Service-affecting,AMP-1-13-6,Automatic Shutoff,ALSO_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Critical,9/20/2018 10:18:34,9/20/18 13:41,3:23:13,BLRJYN-MCM-O-I614-01,Service-affecting,OPTMON-1-14-8,Optical Line Fail,LOS_PHYO,No,No,Communication,Signal Fail,ESAM | C-Band w/OSC | 1xSFP,No
Major,9/20/2018 10:18:34,9/20/18 10:25,0:07:21,BLRJYN-MCM-O-I614-01,Service-affecting,AMP-3-13-6,Shutoff Threshold Crossed,STC_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Critical,9/20/2018 10:18:34,9/20/18 10:27,0:08:27,BLRVNG-MCN-O-I614-01,Service-affecting,ETH10G-3-10-8,Laser Off Far End Failure Triggered,FEF_OCH,No,No,Equipment,Transmit Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:18,0:00:02,BLRVNG-MCN-O-I614-01,Service-affecting,OTM4-3-10-1,Loss Of Clock,RTCLK,No,No,Timing,Real Time Clock Failure,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:34,9/20/18 10:27,0:08:27,BLRVNG-MCN-O-I614-01,Service-affecting,ETH10G-3-10-8,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:35,9/20/18 13:42,3:24:07,BLRBID-MCN-O-I614-01,Service-affecting,AMP-3-13-6,Automatic Shutoff,ALSO_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Major,9/20/2018 10:18:35,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,AMP-3-13-8,Shutoff Threshold Crossed,STC_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Critical,9/20/2018 10:18:35,9/20/18 10:18,0:00:02,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-3-14-8,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,ESAM | C-Band w/OSC | 1xSFP,No
Major,9/20/2018 10:18:35,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,AMP-3-13-8,Input Loss Of Signal,IN_LOS_OTS,No,No,Communication,Signal Fail,MLA3 | C-Band,No
Minor,9/20/2018 10:18:35,9/20/18 10:18,0:00:01,BLRDME-MCM-O-I614-01,Non service-affecting,AMP-1-8-8,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,MLA3 | C-Band,No
Minor,9/20/2018 10:18:35,9/20/18 10:18,0:00:01,BLRDME-MCM-O-I614-01,Non service-affecting,OPTMON-1-7-8,Gauge Threshold Crossing Alert Summary,T_TSUM_OTS,No,No,Performance,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,No
Major,9/20/2018 10:18:36,9/20/18 10:18,0:00:00,BLRVNG-MCN-O-I614-01,Service-affecting,OTM4-3-10-1,Rx Channel Power Out Of Range,RX_CH_PWR_OOR,No,No,Equipment,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Critical,9/20/2018 10:18:37,9/20/18 13:42,3:24:05,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-3-14-8,Optical Line Fail,LOS_PHYO,No,No,Communication,Signal Fail,ESAM | C-Band w/OSC | 1xSFP,No
Warning,9/20/2018 10:18:38,9/20/18 10:20,0:02:03,BLRJYN-MCM-O-I614-01,Unknown,OTDRCFG-1-14-8,OTDR Trace In Progress,TRC_INPROGRESS,No,No,Service Report,Test In Progress,ESAM | C-Band w/OSC | 1xSFP,No
Warning,9/20/2018 10:18:40,9/20/18 10:20,0:02:06,BLRBID-MCN-O-I614-01,Unknown,OTDRCFG-3-14-8,OTDR Trace In Progress,TRC_INPROGRESS,No,No,Service Report,Test In Progress,ESAM | C-Band w/OSC | 1xSFP,No
Minor,9/20/2018 10:18:42,9/20/18 10:18,0:00:01,BLRBID-MCN-O-I614-01,Non service-affecting,DOC-3-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Critical,9/20/2018 10:18:43,9/20/18 10:22,0:03:18,BLRJYN-MCM-O-I614-01,Service-affecting,ETH10G-3-6-10,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:18:43,9/20/18 10:19,0:01:13,BLRJYN-MCM-O-I614-01,Non service-affecting,DOC-2-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
