Severity,Raise time ( GMT ),System type,System name,Component,Description,Acknowledged,Annotation,Additional text,Alarm type,Probable cause,Equipment type,Clear time ( GMT ),Cleared by,CLFI,Supression Flag
MAJOR,28-10-2018 19:23,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:25,,,No
MINOR,28-10-2018 19:23,OME6500,NDANNM-MCD-O-I614-01,OSRPLINE0-1-114,UNREACHABLERN,No,No,Remote Node Unreachable,PROCESSING,Connection Establishment Error,,28-10-2018 19:23,,,No
MINOR,28-10-2018 19:22,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:23,,,No
MAJOR,28-10-2018 19:21,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:23,,,No
MAJOR,28-10-2018 19:21,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:22,,,No
MINOR,28-10-2018 19:20,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:20,,,No
MAJOR,28-10-2018 19:18,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:20,,,No
MAJOR,28-10-2018 19:18,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:20,,,No
MINOR,28-10-2018 19:18,OME6500,NDANNM-MCD-O-I614-01,OSRPLINE0-1-114,UNREACHABLERN,No,No,Remote Node Unreachable,PROCESSING,Connection Establishment Error,,28-10-2018 19:18,,,No
MINOR,28-10-2018 19:18,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:18,,,No
MAJOR,28-10-2018 19:16,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:18,,,No
MAJOR,28-10-2018 19:16,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:18,,,No
MINOR,28-10-2018 19:15,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:15,,,No
MAJOR,28-10-2018 19:14,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:15,,,No
MAJOR,28-10-2018 19:14,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:16,,,No
MINOR,28-10-2018 19:13,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:13,,,No
