Severity,Raise time ( GMT ),System type,System name,Component,Description,Acknowledged,Annotation,Additional text,Alarm type,Probable cause,Equipment type,Clear time ( GMT ),Cleared by,CLFI,Supression Flag
MAJOR,28-10-2018 18:59,OME6500,BLRAID-MCD-O-I614-01,OTM2-2-10-10,BER_SD_OTU,No,No,OTU Signal Degrade,COMMUNICATION,Signal Degraded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
CRITICAL,28-10-2018 18:59,OME6500,BLRVNG-MCN-O-I614-01,OTM2-3-5-10,LOF_OTU,No,No,Loss Of Frame,COMMUNICATION,Frame Loss,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:59,OME6500,BLRVNG-MCN-O-I614-01,OTM2-3-5-10,RX_PWR_OOR_OCH,No,No,Rx Power Out Of Range,EQUIPMENT,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:59,OME6500,BLRVNG-MCN-O-I614-01,OTM2-3-5-10,BER_SD_OTU,No,No,OTU Signal Degrade,COMMUNICATION,Signal Degraded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
CRITICAL,28-10-2018 18:59,OME6500,BLRDME-MCM-O-I614-01,OTM2-2-7-10,LOF_OTU,No,No,Loss Of Frame,COMMUNICATION,Frame Loss,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
CRITICAL,28-10-2018 18:59,OME6500,BLRAID-MCD-O-I614-01,OTM2-2-10-10,LOF_OTU,No,No,Loss Of Frame,COMMUNICATION,Frame Loss,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:59,OME6500,BLRDME-MCM-O-I614-01,OTM2-2-7-10,RX_PWR_OOR_OCH,No,No,Rx Power Out Of Range,EQUIPMENT,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:59,OME6500,BLRAID-MCD-O-I614-01,OTM2-2-10-10,RX_PWR_OOR_OCH,No,No,Rx Power Out Of Range,EQUIPMENT,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MINOR,28-10-2018 18:59,OME6500,BLRVNG-MCN-O-I614-01,OTM2-2-10-10,BDI_OTU,No,No,OTU BDI,COMMUNICATION,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:59,OME6500,BLRVNG-MCN-O-I614-01,OTM2-2-10-10,BER_SD_OTU,No,No,OTU Signal Degrade,COMMUNICATION,Signal Degraded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:59,,,No
